comment,Cleaned_Comment,Sentiment
Is this a game or is this real 😝,Is this a game or is this real,negative
bellissimo red bull a palermo citty in yuo ntube,bellissimo red bull a palermo citty in yuo ntube,neutral
That wedding just got blessed by a screaming V10 😂,That wedding just got blessed by a screaming V10,neutral
Tututuru...(type what is missing),Tututurutype what is missing,negative
Макс в перед к  Победе !!!.❤❤❤❤❤❤❤,,neutral
Do they actually do this,Do they actually do this,neutral
He provokes the land of Ferrari,He provokes the land of Ferrari,neutral
What the yoga girls saw.They were stunned.,What the yoga girls sawThey were stunned,neutral
Must needed in india<br>Vote for india ❤❤,Must needed in indiaVote for india,neutral
❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤李宬峟他1個李宬峟我愛你我想你好嗎超機我愛你😊,1,neutral
Palermo for red bull.....Imola.....for Ferrari....welcome to Italy😂,Palermo for red bullImolafor Ferrariwelcome to Italy,neutral
Thats not Palermo thats the entire Scicily the most corrupt part of Europe which they call Europe but its trash everywhere and mafia controlled place.,Thats not Palermo thats the entire Scicily the most corrupt part of Europe which they call Europe but its trash everywhere and mafia controlled place,neutral
หลวงเดช,,neutral
🇮🇹🇧🇷,,neutral
Palermo… il tutto nel nulla ed il nulla nel tutto… un profondo respiro ed un’affannosa asfissia… un’esplosione di colori ed un riverbero di grigio… un’oasi di bellezza e un deserto d’orrore… un delirio di gioia e un grido di dolore…Ne inaliamo silenziosamente la chiassosa quotidianità… la cultura accattivante ed ambigua… la camaleontica trasfigurazione dei vuoti e dei valori… nel vortice delle ribaltate verità… Ma a rare anime è concesso il sentirla… l’amarla sino all’estrema essenza… il distinguere ed il capire quel suo bacio… a volte vita e a volte morte… che è la sua realtà… non la sua sorte… che esiste ancor la luce delle coscienze vive… non solo il buio delle coscienze morte…<br>PM,Palermo il tutto nel nulla ed il nulla nel tutto un profondo respiro ed unaffannosa asfissia unesplosione di colori ed un riverbero di grigio unoasi di bellezza e un deserto dorrore un delirio di gioia e un grido di doloreNe inaliamo silenziosamente la chiassosa quotidianit la cultura accattivante ed ambigua la camaleontica trasfigurazione dei vuoti e dei valori nel vortice delle ribaltate verit Ma a rare anime  concesso il sentirla lamarla sino allestrema essenza il distinguere ed il capire quel suo bacio a volte vita e a volte morte che  la sua realt non la sua sorte che esiste ancor la luce delle coscienze vive non solo il buio delle coscienze mortePM,positive
Echante mon ami,Echante mon ami,neutral
❤🎉,,neutral
Gotta be one of the best commercials ever filmed.,Gotta be one of the best commercials ever filmed,positive
Max would drive a F1 car as a daily driver if it was road legal,Max would drive a F1 car as a daily driver if it was road legal,positive
vai ser multado por excesso de velocidade,vai ser multado por excesso de velocidade,neutral
Solo ora mi sono accorto che c’era uno che assomigliava a @jakidale,Solo ora mi sono accorto che cera uno che assomigliava a jakidale,neutral
Max 😍😍😍,Max,neutral
"Beautiful, but from castle to castle is the best.",Beautiful but from castle to castle is the best,positive
😊😊😊 que bueno que están bien me alegro mucho chery valdes,que bueno que estn bien me alegro mucho chery valdes,neutral
🫶 RedBull 🫶,RedBull,neutral
"Il regalo più grande era prima di levare le buche e la spazzatura e poi fare vedere la vera palermo, no il fuori, le strade di palermo e per fortuna la circondano quindi il sindaco Orlando sapere che li c&#39;erano buche e spazzatura quindi per lui era meglio come per la red bull fare vedere solo il necessario, come alla favorita, come all centro e nelle periferia, e poi quelli che sono nell video ,come quello dei limoni il caretto e tanto altro nn sono i veri venditori  ,cioè per nn pagare i veri proprietari si sono portati i loro attori cioe capito la falsità che anno e che riescono a far credere alla gente, e giustamente la gente nn sa nulla ,",Il regalo pi grande era prima di levare le buche e la spazzatura e poi fare vedere la vera palermo no il fuori le strade di palermo e per fortuna la circondano quindi il sindaco Orlando sapere che li c39erano buche e spazzatura quindi per lui era meglio come per la red bull fare vedere solo il necessario come alla favorita come all centro e nelle periferia e poi quelli che sono nell video come quello dei limoni il caretto e tanto altro nn sono i veri venditori  cio per nn pagare i veri proprietari si sono portati i loro attori cioe capito la falsit che anno e che riescono a far credere alla gente e giustamente la gente nn sa nulla,positive
Buenos días Max veretappe 🇫🇷,Buenos das Max veretappe,neutral
Proud to drive a Honda 😎,Proud to drive a Honda,positive
❤❤❤❤❤❤❤🇮🇲🇮🇹,,neutral
Fraud gang. They&#39;ve been cheating for three years.<br><br>￼,Fraud gang They39ve been cheating for three years,neutral
"This Is the real Palermo, the real Sicily❤",This Is the real Palermo the real Sicily,positive
Bunch of nutters. the best one ever.,Bunch of nutters the best one ever,positive
Love watching this,Love watching this,positive
I LOVE THAT DIESEL ENGINE SOUND.,I LOVE THAT DIESEL ENGINE SOUND,positive
El trampitas de max,El trampitas de max,neutral
we expect this from redbull! keep entertaining guys,we expect this from redbull keep entertaining guys,positive
why RB uses the car from 2013 instead of current F1 car,why RB uses the car from 2013 instead of current F1 car,neutral
The racing lines are awful!,The racing lines are awful,negative
My home ❤️‍🔥❤️‍🔥❤️‍🔥,My home,neutral
"Ho visto e rivisto questo spot decine di volte. Eppure ogni volta che lo guardo ho sempre un nodo alla gola per l&#39;emozione che provo di fronte a tanta bellezza. Grazie a Red Bull per aver esaltato al massimo come solo loro sanno fare, ciò che di bello c&#39;è e che noi palermitani possiamo assaporare ogni giorno. Grande Palermo sei un patrimonio da conservare per sempre",Ho visto e rivisto questo spot decine di volte Eppure ogni volta che lo guardo ho sempre un nodo alla gola per l39emozione che provo di fronte a tanta bellezza Grazie a Red Bull per aver esaltato al massimo come solo loro sanno fare ci che di bello c39 e che noi palermitani possiamo assaporare ogni giorno Grande Palermo sei un patrimonio da conservare per sempre,neutral
The marketing is on another level. Really had fun wachting this!! 🔥🔥🔥🔥,The marketing is on another level Really had fun wachting this,positive
